date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-10-23,Spread,FALSE,TRUE,POR Trail Blazers,0.5238095238095238,-110,1.90909091,10/11,3.5,4511,1,2_0,2_67494742
2022-10-23,Spread,FALSE,TRUE,LA Lakers,0.5238095238095238,-110,1.90909091,10/11,-3.5,4511,1,2_0,2_67494742
2022-10-23,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,225,4511,6,3_0,3_67494742
2022-10-23,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,225,4511,6,3_0,3_67494742
2022-10-23,Moneyline,FALSE,TRUE,POR Trail Blazers,0.4166666666666667,140,2.4,7/5,NA,4511,2,1_0,1_67494742
2022-10-23,Moneyline,FALSE,TRUE,LA Lakers,0.6226415094339622,-165,1.6060606100000001,20/33,NA,4511,2,1_0,1_67494742
2022-10-23,Spread,FALSE,TRUE,CHA Hornets,0.5238095238095238,-110,1.90909091,10/11,10.5,4511,1,2_0,2_67494743
2022-10-23,Spread,FALSE,TRUE,ATL Hawks,0.5238095238095238,-110,1.90909091,10/11,-10.5,4511,1,2_0,2_67494743
2022-10-23,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,228,4511,6,3_0,3_67494743
2022-10-23,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,228,4511,6,3_0,3_67494743
2022-10-23,Moneyline,FALSE,TRUE,CHA Hornets,0.19607843137254902,410,5.1,41/10,NA,4511,2,1_0,1_67494743
2022-10-23,Moneyline,FALSE,TRUE,ATL Hawks,0.8387096774193549,-520,1.1923077,5/26,NA,4511,2,1_0,1_67494743
2022-10-23,Spread,FALSE,TRUE,UTA Jazz,0.5238095238095238,-110,1.90909091,10/11,7.5,4511,1,2_0,2_67494747
2022-10-23,Spread,FALSE,TRUE,NO Pelicans,0.5238095238095238,-110,1.90909091,10/11,-7.5,4511,1,2_0,2_67494747
2022-10-23,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,230,4511,6,3_0,3_67494747
2022-10-23,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,230,4511,6,3_0,3_67494747
2022-10-23,Moneyline,FALSE,TRUE,UTA Jazz,0.2898550724637681,245,3.45,49/20,NA,4511,2,1_0,1_67494747
2022-10-23,Moneyline,FALSE,TRUE,NO Pelicans,0.7468354430379747,-295,1.33898306,20/59,NA,4511,2,1_0,1_67494747
2022-10-23,Spread,FALSE,TRUE,WAS Wizards,0.5238095238095238,-110,1.90909091,10/11,4.5,4511,1,2_0,2_67494744
2022-10-23,Spread,FALSE,TRUE,CLE Cavaliers,0.5238095238095238,-110,1.90909091,10/11,-4.5,4511,1,2_0,2_67494744
2022-10-23,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,217.5,4511,6,3_0,3_67494744
2022-10-23,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,217.5,4511,6,3_0,3_67494744
2022-10-23,Moneyline,FALSE,TRUE,WAS Wizards,0.39215686274509803,155,2.55,31/20,NA,4511,2,1_0,1_67494744
2022-10-23,Moneyline,FALSE,TRUE,CLE Cavaliers,0.6428571428571429,-180,1.55555556,5/9,NA,4511,2,1_0,1_67494744
2022-10-23,Spread,FALSE,TRUE,MIN Timberwolves,0.5238095238095238,-110,1.90909091,10/11,-8,4511,1,2_0,2_67494748
2022-10-23,Spread,FALSE,TRUE,OKC Thunder,0.5238095238095238,-110,1.90909091,10/11,8,4511,1,2_0,2_67494748
2022-10-23,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,226.5,4511,6,3_0,3_67494748
2022-10-23,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,226.5,4511,6,3_0,3_67494748
2022-10-23,Moneyline,FALSE,TRUE,MIN Timberwolves,0.7619047619047619,-320,1.3125,5/16,NA,4511,2,1_0,1_67494748
2022-10-23,Moneyline,FALSE,TRUE,OKC Thunder,0.273972602739726,265,3.65,53/20,NA,4511,2,1_0,1_67494748
2022-10-23,Spread,FALSE,TRUE,SAC Kings,0.5238095238095238,-110,1.90909091,10/11,9.5,4511,1,2_0,2_67494750
2022-10-23,Spread,FALSE,TRUE,GS Warriors,0.5238095238095238,-110,1.90909091,10/11,-9.5,4511,1,2_0,2_67494750
2022-10-23,Total,FALSE,TRUE,Over,0.5348837209302325,-115,1.86956522,20/23,231,4511,6,3_0,3_67494750
2022-10-23,Total,FALSE,TRUE,Under,0.5121951219512195,-105,1.95238096,20/21,231,4511,6,3_0,3_67494750
2022-10-23,Moneyline,FALSE,TRUE,SAC Kings,0.22727272727272727,340,4.4,17/5,NA,4511,2,1_0,1_67494750
2022-10-23,Moneyline,FALSE,TRUE,GS Warriors,0.8095238095238095,-425,1.23529412,4/17,NA,4511,2,1_0,1_67494750
