date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-10-30,Spread,FALSE,TRUE,NO Pelicans,0.5238095238095238,-110,1.90909091,10/11,2.5,4511,1,2_0,2_67620483
2022-10-30,Spread,FALSE,TRUE,LA Clippers,0.5238095238095238,-110,1.90909091,10/11,-2.5,4511,1,2_0,2_67620483
2022-10-30,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,224.5,4511,6,3_0,3_67620483
2022-10-30,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,224.5,4511,6,3_0,3_67620483
2022-10-30,Moneyline,FALSE,TRUE,NO Pelicans,0.45454545454545453,120,2.2,6/5,NA,4511,2,1_0,1_67620483
2022-10-30,Moneyline,FALSE,TRUE,LA Clippers,0.5833333333333334,-140,1.71428572,5/7,NA,4511,2,1_0,1_67620483
2022-10-30,Spread,FALSE,TRUE,WAS Wizards,0.5238095238095238,-110,1.90909091,10/11,8.5,4511,1,2_0,2_67620488
2022-10-30,Spread,FALSE,TRUE,BOS Celtics,0.5238095238095238,-110,1.90909091,10/11,-8.5,4511,1,2_0,2_67620488
2022-10-30,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,222.5,4511,6,3_0,3_67620488
2022-10-30,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,222.5,4511,6,3_0,3_67620488
2022-10-30,Moneyline,FALSE,TRUE,WAS Wizards,0.25,300,4,3/1,NA,4511,2,1_0,1_67620488
2022-10-30,Moneyline,FALSE,TRUE,BOS Celtics,0.7849462365591398,-365,1.27397261,20/73,NA,4511,2,1_0,1_67620488
2022-10-30,Spread,FALSE,TRUE,GS Warriors,0.5238095238095238,-110,1.90909091,10/11,-7,4511,1,2_0,2_67620493
2022-10-30,Spread,FALSE,TRUE,DET Pistons,0.5238095238095238,-110,1.90909091,10/11,7,4511,1,2_0,2_67620493
2022-10-30,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,229.5,4511,6,3_0,3_67620493
2022-10-30,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,229.5,4511,6,3_0,3_67620493
2022-10-30,Moneyline,FALSE,TRUE,GS Warriors,0.7402597402597403,-285,1.3508772,20/57,NA,4511,2,1_0,1_67620493
2022-10-30,Moneyline,FALSE,TRUE,DET Pistons,0.29411764705882354,240,3.4,12/5,NA,4511,2,1_0,1_67620493
2022-10-30,Spread,FALSE,TRUE,NY Knicks,0.5238095238095238,-110,1.90909091,10/11,4,4511,1,2_0,2_67620492
2022-10-30,Spread,FALSE,TRUE,CLE Cavaliers,0.5238095238095238,-110,1.90909091,10/11,-4,4511,1,2_0,2_67620492
2022-10-30,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,221,4511,6,3_0,3_67620492
2022-10-30,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,221,4511,6,3_0,3_67620492
2022-10-30,Moneyline,FALSE,TRUE,NY Knicks,0.39215686274509803,155,2.55,31/20,NA,4511,2,1_0,1_67620492
2022-10-30,Moneyline,FALSE,TRUE,CLE Cavaliers,0.6428571428571429,-180,1.55555556,5/9,NA,4511,2,1_0,1_67620492
2022-10-30,Spread,FALSE,TRUE,MIN Timberwolves,0.5348837209302325,-115,1.86956522,20/23,-5.5,4511,1,2_0,2_67620494
2022-10-30,Spread,FALSE,TRUE,SA Spurs,0.5121951219512195,-105,1.95238096,20/21,5.5,4511,1,2_0,2_67620494
2022-10-30,Total,FALSE,TRUE,Over,0.5348837209302325,-115,1.86956522,20/23,235,4511,6,3_0,3_67620494
2022-10-30,Total,FALSE,TRUE,Under,0.5121951219512195,-105,1.95238096,20/21,235,4511,6,3_0,3_67620494
2022-10-30,Moneyline,FALSE,TRUE,MIN Timberwolves,0.6923076923076923,-225,1.44444445,4/9,NA,4511,2,1_0,1_67620494
2022-10-30,Moneyline,FALSE,TRUE,SA Spurs,0.3448275862068966,190,2.9,19/10,NA,4511,2,1_0,1_67620494
2022-10-30,Spread,FALSE,TRUE,ORL Magic,0.5238095238095238,-110,1.90909091,10/11,9.5,4511,1,2_0,2_67620501
2022-10-30,Spread,FALSE,TRUE,DAL Mavericks,0.5238095238095238,-110,1.90909091,10/11,-9.5,4511,1,2_0,2_67620501
2022-10-30,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,215,4511,6,3_0,3_67620501
2022-10-30,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,215,4511,6,3_0,3_67620501
2022-10-30,Moneyline,FALSE,TRUE,ORL Magic,0.21739130434782608,360,4.6,18/5,NA,4511,2,1_0,1_67620501
2022-10-30,Moneyline,FALSE,TRUE,DAL Mavericks,0.8181818181818182,-450,1.22222223,2/9,NA,4511,2,1_0,1_67620501
2022-10-30,Spread,FALSE,TRUE,HOU Rockets,0.5238095238095238,-110,1.90909091,10/11,12,4511,1,2_0,2_67620502
2022-10-30,Spread,FALSE,TRUE,PHO Suns,0.5238095238095238,-110,1.90909091,10/11,-12,4511,1,2_0,2_67620502
2022-10-30,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,228,4511,6,3_0,3_67620502
2022-10-30,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,228,4511,6,3_0,3_67620502
2022-10-30,Moneyline,FALSE,TRUE,HOU Rockets,0.15384615384615385,550,6.5,11/2,NA,4511,2,1_0,1_67620502
2022-10-30,Moneyline,FALSE,TRUE,PHO Suns,0.8823529411764706,-750,1.13333334,2/15,NA,4511,2,1_0,1_67620502
2022-10-30,Spread,FALSE,TRUE,DEN Nuggets,0.5238095238095238,-110,1.90909091,10/11,-3.5,4511,1,2_0,2_67620510
2022-10-30,Spread,FALSE,TRUE,LA Lakers,0.5238095238095238,-110,1.90909091,10/11,3.5,4511,1,2_0,2_67620510
2022-10-30,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,223.5,4511,6,3_0,3_67620510
2022-10-30,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,223.5,4511,6,3_0,3_67620510
2022-10-30,Moneyline,FALSE,TRUE,DEN Nuggets,0.6226415094339622,-165,1.6060606100000001,20/33,NA,4511,2,1_0,1_67620510
2022-10-30,Moneyline,FALSE,TRUE,LA Lakers,0.4166666666666667,140,2.4,7/5,NA,4511,2,1_0,1_67620510
