date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-11-15,Spread,FALSE,TRUE,MEM Grizzlies,0.5238095238095238,-110,1.90909091,10/11,2.5,4511,1,2_0,2_67899232
2022-11-15,Spread,FALSE,TRUE,NO Pelicans,0.5238095238095238,-110,1.90909091,10/11,-2.5,4511,1,2_0,2_67899232
2022-11-15,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,230,4511,6,3_0,3_67899232
2022-11-15,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,230,4511,6,3_0,3_67899232
2022-11-15,Moneyline,FALSE,TRUE,MEM Grizzlies,0.45454545454545453,120,2.2,6/5,NA,4511,2,1_0,1_67899232
2022-11-15,Moneyline,FALSE,TRUE,NO Pelicans,0.5833333333333334,-140,1.71428572,5/7,NA,4511,2,1_0,1_67899232
2022-11-15,Spread,FALSE,TRUE,LA Clippers,0.5121951219512195,-105,1.95238096,20/21,7,4511,1,2_0,2_67899286
2022-11-15,Spread,FALSE,TRUE,DAL Mavericks,0.5348837209302325,-115,1.86956522,20/23,-7,4511,1,2_0,2_67899286
2022-11-15,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,211.5,4511,6,3_0,3_67899286
2022-11-15,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,211.5,4511,6,3_0,3_67899286
2022-11-15,Moneyline,FALSE,TRUE,LA Clippers,0.29850746268656714,235,3.35,47/20,NA,4511,2,1_0,1_67899286
2022-11-15,Moneyline,FALSE,TRUE,DAL Mavericks,0.7368421052631579,-280,1.35714286,5/14,NA,4511,2,1_0,1_67899286
2022-11-15,Spread,FALSE,TRUE,NY Knicks,0.5121951219512195,-105,1.95238096,20/21,4,4511,1,2_0,2_67899304
2022-11-15,Spread,FALSE,TRUE,UTA Jazz,0.5348837209302325,-115,1.86956522,20/23,-4,4511,1,2_0,2_67899304
2022-11-15,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,230.5,4511,6,3_0,3_67899304
2022-11-15,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,230.5,4511,6,3_0,3_67899304
2022-11-15,Moneyline,FALSE,TRUE,NY Knicks,0.39215686274509803,155,2.55,31/20,NA,4511,2,1_0,1_67899304
2022-11-15,Moneyline,FALSE,TRUE,UTA Jazz,0.6428571428571429,-180,1.55555556,5/9,NA,4511,2,1_0,1_67899304
2022-11-15,Spread,FALSE,TRUE,BKN Nets,0.5348837209302325,-115,1.86956522,20/23,2,4511,1,2_0,2_67899309
2022-11-15,Spread,FALSE,TRUE,SAC Kings,0.5121951219512195,-105,1.95238096,20/21,-2,4511,1,2_0,2_67899309
2022-11-15,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,225,4511,6,3_0,3_67899309
2022-11-15,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,225,4511,6,3_0,3_67899309
2022-11-15,Moneyline,FALSE,TRUE,BKN Nets,0.4878048780487805,105,2.05,21/20,NA,4511,2,1_0,1_67899309
2022-11-15,Moneyline,FALSE,TRUE,SAC Kings,0.5555555555555556,-125,1.8,4/5,NA,4511,2,1_0,1_67899309
2022-11-15,Spread,FALSE,TRUE,SA Spurs,0.5238095238095238,-110,1.90909091,10/11,8,4511,1,2_0,2_67899307
2022-11-15,Spread,FALSE,TRUE,POR Trail Blazers,0.5238095238095238,-110,1.90909091,10/11,-8,4511,1,2_0,2_67899307
2022-11-15,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,224,4511,6,3_0,3_67899307
2022-11-15,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,224,4511,6,3_0,3_67899307
2022-11-15,Moneyline,FALSE,TRUE,SA Spurs,0.2857142857142857,250,3.5,5/2,NA,4511,2,1_0,1_67899307
2022-11-15,Moneyline,FALSE,TRUE,POR Trail Blazers,0.75,-300,1.33333334,1/3,NA,4511,2,1_0,1_67899307
