date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-12-01,Spread,FALSE,TRUE,DAL Mavericks,0.5238095238095238,-110,1.90909091,10/11,-7.5,4511,1,2_0,2_68154466
2022-12-01,Spread,FALSE,TRUE,DET Pistons,0.5238095238095238,-110,1.90909091,10/11,7.5,4511,1,2_0,2_68154466
2022-12-01,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,221,4511,6,3_0,3_68154466
2022-12-01,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,221,4511,6,3_0,3_68154466
2022-12-01,Moneyline,FALSE,TRUE,DAL Mavericks,0.7368421052631579,-280,1.35714286,5/14,NA,4511,2,1_0,1_68154466
2022-12-01,Moneyline,FALSE,TRUE,DET Pistons,0.29850746268656714,235,3.35,47/20,NA,4511,2,1_0,1_68154466
