date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-09-17,Spread,FALSE,TRUE,TB Buccaneers,0.5238095238095238,-110,1.90909091,10/11,-2.5,4518,1,2_0,2_64983484
2022-09-17,Spread,FALSE,TRUE,NO Saints,0.5238095238095238,-110,1.90909091,10/11,2.5,4518,1,2_0,2_64983484
2022-09-17,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,44,4518,6,3_0,3_64983484
2022-09-17,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,44,4518,6,3_0,3_64983484
2022-09-17,Moneyline,FALSE,TRUE,TB Buccaneers,0.5833333333333334,-140,1.71428572,5/7,NA,4518,2,1_0,1_64983484
2022-09-17,Moneyline,FALSE,TRUE,NO Saints,0.45454545454545453,120,2.2,6/5,NA,4518,2,1_0,1_64983484
2022-09-17,Spread,FALSE,TRUE,MIA Dolphins,0.5348837209302325,-115,1.86956522,20/23,3.5,4518,1,2_0,2_64983479
2022-09-17,Spread,FALSE,TRUE,BAL Ravens,0.5121951219512195,-105,1.95238096,20/21,-3.5,4518,1,2_0,2_64983479
2022-09-17,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,44.5,4518,6,3_0,3_64983479
2022-09-17,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,44.5,4518,6,3_0,3_64983479
2022-09-17,Moneyline,FALSE,TRUE,MIA Dolphins,0.39215686274509803,155,2.55,31/20,NA,4518,2,1_0,1_64983479
2022-09-17,Moneyline,FALSE,TRUE,BAL Ravens,0.6428571428571429,-180,1.55555556,5/9,NA,4518,2,1_0,1_64983479
2022-09-17,Spread,FALSE,TRUE,CAR Panthers,0.5238095238095238,-110,1.90909091,10/11,2,4518,1,2_0,2_64983485
2022-09-17,Spread,FALSE,TRUE,NY Giants,0.5238095238095238,-110,1.90909091,10/11,-2,4518,1,2_0,2_64983485
2022-09-17,Total,FALSE,TRUE,Over,0.5348837209302325,-115,1.86956522,20/23,43.5,4518,6,3_0,3_64983485
2022-09-17,Total,FALSE,TRUE,Under,0.5121951219512195,-105,1.95238096,20/21,43.5,4518,6,3_0,3_64983485
2022-09-17,Moneyline,FALSE,TRUE,CAR Panthers,0.4878048780487805,105,2.05,21/20,NA,4518,2,1_0,1_64983485
2022-09-17,Moneyline,FALSE,TRUE,NY Giants,0.5555555555555556,-125,1.8,4/5,NA,4518,2,1_0,1_64983485
2022-09-17,Spread,FALSE,TRUE,WAS Commanders,0.5238095238095238,-110,1.90909091,10/11,1.5,4518,1,2_0,2_64983481
2022-09-17,Spread,FALSE,TRUE,DET Lions,0.5238095238095238,-110,1.90909091,10/11,-1.5,4518,1,2_0,2_64983481
2022-09-17,Total,FALSE,TRUE,Over,0.5121951219512195,-105,1.95238096,20/21,48.5,4518,6,3_0,3_64983481
