date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-11-22,Spread,FALSE,TRUE,BUF Bills,0.5238095238095238,-110,1.90909091,10/11,-9,4518,1,2_0,2_64983483
2022-11-22,Spread,FALSE,TRUE,DET Lions,0.5238095238095238,-110,1.90909091,10/11,9,4518,1,2_0,2_64983483
2022-11-22,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,53.5,4518,6,3_0,3_64983483
2022-11-22,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,53.5,4518,6,3_0,3_64983483
2022-11-22,Moneyline,FALSE,TRUE,BUF Bills,0.803921568627451,-410,1.24390244,10/41,NA,4518,2,1_0,1_64983483
2022-11-22,Moneyline,FALSE,TRUE,DET Lions,0.23255813953488372,330,4.3,33/10,NA,4518,2,1_0,1_64983483
2022-11-22,Spread,FALSE,TRUE,NY Giants,0.5238095238095238,-110,1.90909091,10/11,9,4518,1,2_0,2_64983486
2022-11-22,Spread,FALSE,TRUE,DAL Cowboys,0.5238095238095238,-110,1.90909091,10/11,-9,4518,1,2_0,2_64983486
2022-11-22,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,44.5,4518,6,3_0,3_64983486
2022-11-22,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,44.5,4518,6,3_0,3_64983486
2022-11-22,Moneyline,FALSE,TRUE,NY Giants,0.25,300,4,3/1,NA,4518,2,1_0,1_64983486
2022-11-22,Moneyline,FALSE,TRUE,DAL Cowboys,0.7849462365591398,-365,1.27397261,20/73,NA,4518,2,1_0,1_64983486
2022-11-22,Spread,FALSE,TRUE,NE Patriots,0.5238095238095238,-110,1.90909091,10/11,3,4518,1,2_0,2_64983488
2022-11-22,Spread,FALSE,TRUE,MIN Vikings,0.5238095238095238,-110,1.90909091,10/11,-3,4518,1,2_0,2_64983488
2022-11-22,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,42,4518,6,3_0,3_64983488
2022-11-22,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,42,4518,6,3_0,3_64983488
2022-11-22,Moneyline,FALSE,TRUE,NE Patriots,0.43478260869565216,130,2.3,13/10,NA,4518,2,1_0,1_64983488
2022-11-22,Moneyline,FALSE,TRUE,MIN Vikings,0.6,-150,1.66666667,2/3,NA,4518,2,1_0,1_64983488
2022-11-22,Spread,FALSE,TRUE,HOU Texans,0.5238095238095238,-110,1.90909091,10/11,12.5,4518,1,2_0,2_64983496
2022-11-22,Spread,FALSE,TRUE,MIA Dolphins,0.5238095238095238,-110,1.90909091,10/11,-12.5,4518,1,2_0,2_64983496
2022-11-22,Total,FALSE,TRUE,Over,0.5348837209302325,-115,1.86956522,20/23,45.5,4518,6,3_0,3_64983496
2022-11-22,Total,FALSE,TRUE,Under,0.5121951219512195,-105,1.95238096,20/21,45.5,4518,6,3_0,3_64983496
