date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-10-02,Spread,FALSE,TRUE,MIN Vikings,0.5238095238095238,-110,1.90909091,10/11,-4,4518,1,2_0,2_64832818
2022-10-02,Spread,FALSE,TRUE,NO Saints,0.5238095238095238,-110,1.90909091,10/11,4,4518,1,2_0,2_64832818
2022-10-02,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,42,4518,6,3_0,3_64832818
2022-10-02,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,42,4518,6,3_0,3_64832818
2022-10-02,Moneyline,FALSE,TRUE,MIN Vikings,0.6721311475409836,-205,1.48780488,20/41,NA,4518,2,1_0,1_64832818
2022-10-02,Moneyline,FALSE,TRUE,NO Saints,0.36363636363636365,175,2.75,7/4,NA,4518,2,1_0,1_64832818
2022-10-02,Spread,FALSE,TRUE,JAX Jaguars,0.5238095238095238,-110,1.90909091,10/11,6.5,4518,1,2_0,2_64983952
2022-10-02,Spread,FALSE,TRUE,PHI Eagles,0.5238095238095238,-110,1.90909091,10/11,-6.5,4518,1,2_0,2_64983952
2022-10-02,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,45,4518,6,3_0,3_64983952
2022-10-02,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,45,4518,6,3_0,3_64983952
2022-10-02,Moneyline,FALSE,TRUE,JAX Jaguars,0.3125,220,3.2,11/5,NA,4518,2,1_0,1_64983952
2022-10-02,Moneyline,FALSE,TRUE,PHI Eagles,0.7222222222222222,-260,1.38461539,5/13,NA,4518,2,1_0,1_64983952
2022-10-02,Spread,FALSE,TRUE,BUF Bills,0.5,100,2,1/1,-3.5,4518,1,2_0,2_64983940
2022-10-02,Spread,FALSE,TRUE,BAL Ravens,0.5454545454545454,-120,1.83333334,5/6,3.5,4518,1,2_0,2_64983940
2022-10-02,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,50.5,4518,6,3_0,3_64983940
2022-10-02,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,50.5,4518,6,3_0,3_64983940
2022-10-02,Moneyline,FALSE,TRUE,BUF Bills,0.6363636363636364,-175,1.57142858,4/7,NA,4518,2,1_0,1_64983940
2022-10-02,Moneyline,FALSE,TRUE,BAL Ravens,0.4,150,2.5,3/2,NA,4518,2,1_0,1_64983940
2022-10-02,Spread,FALSE,TRUE,TEN Titans,0.5348837209302325,-115,1.86956522,20/23,3.5,4518,1,2_0,2_64983946
2022-10-02,Spread,FALSE,TRUE,IND Colts,0.5121951219512195,-105,1.95238096,20/21,-3.5,4518,1,2_0,2_64983946
2022-10-02,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,43,4518,6,3_0,3_64983946
2022-10-02,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,43,4518,6,3_0,3_64983946
2022-10-02,Moneyline,FALSE,TRUE,TEN Titans,0.39215686274509803,155,2.55,31/20,NA,4518,2,1_0,1_64983946
2022-10-02,Moneyline,FALSE,TRUE,IND Colts,0.6428571428571429,-180,1.55555556,5/9,NA,4518,2,1_0,1_64983946
2022-10-02,Spread,FALSE,TRUE,CHI Bears,0.5,100,2,1/1,2.5,4518,1,2_0,2_64983950
2022-10-02,Spread,FALSE,TRUE,NY Giants,0.5454545454545454,-120,1.83333334,5/6,-2.5,4518,1,2_0,2_64983950
2022-10-02,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,38.5,4518,6,3_0,3_64983950
2022-10-02,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,38.5,4518,6,3_0,3_64983950
2022-10-02,Moneyline,FALSE,TRUE,CHI Bears,0.43478260869565216,130,2.3,13/10,NA,4518,2,1_0,1_64983950
2022-10-02,Moneyline,FALSE,TRUE,NY Giants,0.6,-150,1.66666667,2/3,NA,4518,2,1_0,1_64983950
2022-10-02,Spread,FALSE,TRUE,WAS Commanders,0.5121951219512195,-105,1.95238096,20/21,3,4518,1,2_0,2_64983942
2022-10-02,Spread,FALSE,TRUE,DAL Cowboys,0.5348837209302325,-115,1.86956522,20/23,-3,4518,1,2_0,2_64983942
2022-10-02,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,41,4518,6,3_0,3_64983942
2022-10-02,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,41,4518,6,3_0,3_64983942
2022-10-02,Moneyline,FALSE,TRUE,WAS Commanders,0.4166666666666667,140,2.4,7/5,NA,4518,2,1_0,1_64983942
2022-10-02,Moneyline,FALSE,TRUE,DAL Cowboys,0.6226415094339622,-165,1.6060606100000001,20/33,NA,4518,2,1_0,1_64983942
2022-10-02,Spread,FALSE,TRUE,LA Chargers,0.5238095238095238,-110,1.90909091,10/11,-6,4518,1,2_0,2_64983945
2022-10-02,Spread,FALSE,TRUE,HOU Texans,0.5238095238095238,-110,1.90909091,10/11,6,4518,1,2_0,2_64983945
2022-10-02,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,45,4518,6,3_0,3_64983945
2022-10-02,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,45,4518,6,3_0,3_64983945
2022-10-02,Moneyline,FALSE,TRUE,LA Chargers,0.7183098591549296,-255,1.39215687,20/51,NA,4518,2,1_0,1_64983945
2022-10-02,Moneyline,FALSE,TRUE,HOU Texans,0.31746031746031744,215,3.15,43/20,NA,4518,2,1_0,1_64983945
2022-10-02,Spread,FALSE,TRUE,SEA Seahawks,0.5348837209302325,-115,1.86956522,20/23,3.5,4518,1,2_0,2_64983944
2022-10-02,Spread,FALSE,TRUE,DET Lions,0.5121951219512195,-105,1.95238096,20/21,-3.5,4518,1,2_0,2_64983944
2022-10-02,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,47.5,4518,6,3_0,3_64983944
2022-10-02,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,47.5,4518,6,3_0,3_64983944
2022-10-02,Moneyline,FALSE,TRUE,SEA Seahawks,0.39215686274509803,155,2.55,31/20,NA,4518,2,1_0,1_64983944
2022-10-02,Moneyline,FALSE,TRUE,DET Lions,0.6428571428571429,-180,1.55555556,5/9,NA,4518,2,1_0,1_64983944
2022-10-02,Spread,FALSE,TRUE,CLE Browns,0.5348837209302325,-115,1.86956522,20/23,-1,4518,1,2_0,2_64983938
2022-10-02,Spread,FALSE,TRUE,ATL Falcons,0.5121951219512195,-105,1.95238096,20/21,1,4518,1,2_0,2_64983938
