date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-10-19,Spread,FALSE,TRUE,NO Saints,0.5238095238095238,-110,1.90909091,10/11,2,4518,1,2_0,2_64984073
2022-10-19,Spread,FALSE,TRUE,ARI Cardinals,0.5238095238095238,-110,1.90909091,10/11,-2,4518,1,2_0,2_64984073
2022-10-19,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,44.5,4518,6,3_0,3_64984073
2022-10-19,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,44.5,4518,6,3_0,3_64984073
2022-10-19,Moneyline,FALSE,TRUE,NO Saints,0.4878048780487805,105,2.05,21/20,NA,4518,2,1_0,1_64984073
2022-10-19,Moneyline,FALSE,TRUE,ARI Cardinals,0.5555555555555556,-125,1.8,4/5,NA,4518,2,1_0,1_64984073
2022-10-19,Spread,FALSE,TRUE,NY Giants,0.5238095238095238,-110,1.90909091,10/11,3,4518,1,2_0,2_64984084
2022-10-19,Spread,FALSE,TRUE,JAX Jaguars,0.5238095238095238,-110,1.90909091,10/11,-3,4518,1,2_0,2_64984084
2022-10-19,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,42,4518,6,3_0,3_64984084
2022-10-19,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,42,4518,6,3_0,3_64984084
2022-10-19,Moneyline,FALSE,TRUE,NY Giants,0.4166666666666667,140,2.4,7/5,NA,4518,2,1_0,1_64984084
2022-10-19,Moneyline,FALSE,TRUE,JAX Jaguars,0.6226415094339622,-165,1.6060606100000001,20/33,NA,4518,2,1_0,1_64984084
2022-10-19,Spread,FALSE,TRUE,GB Packers,0.5238095238095238,-110,1.90909091,10/11,-5.5,4518,1,2_0,2_64984088
2022-10-19,Spread,FALSE,TRUE,WAS Commanders,0.5238095238095238,-110,1.90909091,10/11,5.5,4518,1,2_0,2_64984088
2022-10-19,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,42,4518,6,3_0,3_64984088
2022-10-19,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,42,4518,6,3_0,3_64984088
2022-10-19,Moneyline,FALSE,TRUE,GB Packers,0.696969696969697,-230,1.43478261,10/23,NA,4518,2,1_0,1_64984088
2022-10-19,Moneyline,FALSE,TRUE,WAS Commanders,0.3389830508474576,195,2.95,39/20,NA,4518,2,1_0,1_64984088
2022-10-19,Spread,FALSE,TRUE,DET Lions,0.5238095238095238,-110,1.90909091,10/11,7,4518,1,2_0,2_64984082
2022-10-19,Spread,FALSE,TRUE,DAL Cowboys,0.5238095238095238,-110,1.90909091,10/11,-7,4518,1,2_0,2_64984082
2022-10-19,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,48.5,4518,6,3_0,3_64984082
2022-10-19,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,48.5,4518,6,3_0,3_64984082
2022-10-19,Moneyline,FALSE,TRUE,DET Lions,0.273972602739726,265,3.65,53/20,NA,4518,2,1_0,1_64984082
2022-10-19,Moneyline,FALSE,TRUE,DAL Cowboys,0.7619047619047619,-320,1.3125,5/16,NA,4518,2,1_0,1_64984082
2022-10-19,Spread,FALSE,TRUE,TB Buccaneers,0.5238095238095238,-110,1.90909091,10/11,-11,4518,1,2_0,2_64984077
2022-10-19,Spread,FALSE,TRUE,CAR Panthers,0.5238095238095238,-110,1.90909091,10/11,11,4518,1,2_0,2_64984077
2022-10-19,Total,FALSE,TRUE,Over,0.5348837209302325,-115,1.86956522,20/23,40,4518,6,3_0,3_64984077
2022-10-19,Total,FALSE,TRUE,Under,0.5121951219512195,-105,1.95238096,20/21,40,4518,6,3_0,3_64984077
2022-10-19,Moneyline,FALSE,TRUE,TB Buccaneers,0.8333333333333334,-500,1.2,1/5,NA,4518,2,1_0,1_64984077
2022-10-19,Moneyline,FALSE,TRUE,CAR Panthers,0.2,400,5,4/1,NA,4518,2,1_0,1_64984077
2022-10-19,Spread,FALSE,TRUE,CLE Browns,0.5121951219512195,-105,1.95238096,20/21,6,4518,1,2_0,2_64984075
2022-10-19,Spread,FALSE,TRUE,BAL Ravens,0.5348837209302325,-115,1.86956522,20/23,-6,4518,1,2_0,2_64984075
2022-10-19,Total,FALSE,TRUE,Over,0.5348837209302325,-115,1.86956522,20/23,45.5,4518,6,3_0,3_64984075
2022-10-19,Total,FALSE,TRUE,Under,0.5121951219512195,-105,1.95238096,20/21,45.5,4518,6,3_0,3_64984075
2022-10-19,Moneyline,FALSE,TRUE,CLE Browns,0.3076923076923077,225,3.25,9/4,NA,4518,2,1_0,1_64984075
2022-10-19,Moneyline,FALSE,TRUE,BAL Ravens,0.726027397260274,-265,1.3773585,20/53,NA,4518,2,1_0,1_64984075
2022-10-19,Spread,FALSE,TRUE,ATL Falcons,0.5348837209302325,-115,1.86956522,20/23,6.5,4518,1,2_0,2_64984079
2022-10-19,Spread,FALSE,TRUE,CIN Bengals,0.5121951219512195,-105,1.95238096,20/21,-6.5,4518,1,2_0,2_64984079
2022-10-19,Total,FALSE,TRUE,Over,0.5348837209302325,-115,1.86956522,20/23,47.5,4518,6,3_0,3_64984079
2022-10-19,Total,FALSE,TRUE,Under,0.5121951219512195,-105,1.95238096,20/21,47.5,4518,6,3_0,3_64984079
2022-10-19,Moneyline,FALSE,TRUE,ATL Falcons,0.3125,220,3.2,11/5,NA,4518,2,1_0,1_64984079
2022-10-19,Moneyline,FALSE,TRUE,CIN Bengals,0.7222222222222222,-260,1.38461539,5/13,NA,4518,2,1_0,1_64984079
2022-10-19,Spread,FALSE,TRUE,IND Colts,0.5238095238095238,-110,1.90909091,10/11,2.5,4518,1,2_0,2_64984086
2022-10-19,Spread,FALSE,TRUE,TEN Titans,0.5238095238095238,-110,1.90909091,10/11,-2.5,4518,1,2_0,2_64984086
2022-10-19,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,43.5,4518,6,3_0,3_64984086
2022-10-19,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,43.5,4518,6,3_0,3_64984086
2022-10-19,Moneyline,FALSE,TRUE,IND Colts,0.46511627906976744,115,2.15,23/20,NA,4518,2,1_0,1_64984086
2022-10-19,Moneyline,FALSE,TRUE,TEN Titans,0.574468085106383,-135,1.74074075,20/27,NA,4518,2,1_0,1_64984086
2022-10-19,Spread,FALSE,TRUE,NY Jets,0.5238095238095238,-110,1.90909091,10/11,1.5,4518,1,2_0,2_64984091
2022-10-19,Spread,FALSE,TRUE,DEN Broncos,0.5238095238095238,-110,1.90909091,10/11,-1.5,4518,1,2_0,2_64984091
2022-10-19,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,39.5,4518,6,3_0,3_64984091
2022-10-19,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,39.5,4518,6,3_0,3_64984091
2022-10-19,Moneyline,FALSE,TRUE,NY Jets,0.4878048780487805,105,2.05,21/20,NA,4518,2,1_0,1_64984091
2022-10-19,Moneyline,FALSE,TRUE,DEN Broncos,0.5555555555555556,-125,1.8,4/5,NA,4518,2,1_0,1_64984091
2022-10-19,Spread,FALSE,TRUE,HOU Texans,0.5238095238095238,-110,1.90909091,10/11,7,4518,1,2_0,2_64984093
2022-10-19,Spread,FALSE,TRUE,LV Raiders,0.5238095238095238,-110,1.90909091,10/11,-7,4518,1,2_0,2_64984093
2022-10-19,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,45.5,4518,6,3_0,3_64984093
2022-10-19,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,45.5,4518,6,3_0,3_64984093
2022-10-19,Moneyline,FALSE,TRUE,HOU Texans,0.2777777777777778,260,3.6,13/5,NA,4518,2,1_0,1_64984093
2022-10-19,Moneyline,FALSE,TRUE,LV Raiders,0.7590361445783133,-315,1.31746032,20/63,NA,4518,2,1_0,1_64984093
2022-10-19,Spread,FALSE,TRUE,KC Chiefs,0.5238095238095238,-110,1.90909091,10/11,-3,4518,1,2_0,2_64984097
2022-10-19,Spread,FALSE,TRUE,SF 49ers,0.5238095238095238,-110,1.90909091,10/11,3,4518,1,2_0,2_64984097
2022-10-19,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,48.5,4518,6,3_0,3_64984097
2022-10-19,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,48.5,4518,6,3_0,3_64984097
2022-10-19,Moneyline,FALSE,TRUE,KC Chiefs,0.6296296296296297,-170,1.5882353,10/17,NA,4518,2,1_0,1_64984097
2022-10-19,Moneyline,FALSE,TRUE,SF 49ers,0.40816326530612246,145,2.45,29/20,NA,4518,2,1_0,1_64984097
2022-10-19,Spread,FALSE,TRUE,SEA Seahawks,0.5238095238095238,-110,1.90909091,10/11,6,4518,1,2_0,2_64984095
2022-10-19,Spread,FALSE,TRUE,LA Chargers,0.5238095238095238,-110,1.90909091,10/11,-6,4518,1,2_0,2_64984095
2022-10-19,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,51,4518,6,3_0,3_64984095
2022-10-19,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,51,4518,6,3_0,3_64984095
2022-10-19,Moneyline,FALSE,TRUE,SEA Seahawks,0.32786885245901637,205,3.05,41/20,NA,4518,2,1_0,1_64984095
