date,bet_type,suspended,open,label,probability,odds_american,odds_decimal,odds_fractional,line,subcategory_id,bet_type_id,criterion_id,offer_id
2022-11-05,Spread,FALSE,TRUE,BUF Bills,0.5238095238095238,-110,1.90909091,10/11,-11.5,4518,1,2_0,2_64984131
2022-11-05,Spread,FALSE,TRUE,NY Jets,0.5238095238095238,-110,1.90909091,10/11,11.5,4518,1,2_0,2_64984131
2022-11-05,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,46,4518,6,3_0,3_64984131
2022-11-05,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,46,4518,6,3_0,3_64984131
2022-11-05,Moneyline,FALSE,TRUE,BUF Bills,0.8620689655172413,-625,1.16,4/25,NA,4518,2,1_0,1_64984131
2022-11-05,Moneyline,FALSE,TRUE,NY Jets,0.17543859649122806,470,5.7,47/10,NA,4518,2,1_0,1_64984131
2022-11-05,Spread,FALSE,TRUE,MIA Dolphins,0.5238095238095238,-110,1.90909091,10/11,-4,4518,1,2_0,2_64984123
2022-11-05,Spread,FALSE,TRUE,CHI Bears,0.5238095238095238,-110,1.90909091,10/11,4,4518,1,2_0,2_64984123
2022-11-05,Total,FALSE,TRUE,Over,0.5238095238095238,-110,1.90909091,10/11,45.5,4518,6,3_0,3_64984123
2022-11-05,Total,FALSE,TRUE,Under,0.5238095238095238,-110,1.90909091,10/11,45.5,4518,6,3_0,3_64984123
2022-11-05,Moneyline,FALSE,TRUE,MIA Dolphins,0.6610169491525424,-195,1.51282052,20/39,NA,4518,2,1_0,1_64984123
2022-11-05,Moneyline,FALSE,TRUE,CHI Bears,0.37735849056603776,165,2.65,33/20,NA,4518,2,1_0,1_64984123
2022-11-05,Spread,FALSE,TRUE,MIN Vikings,0.5454545454545454,-120,1.83333334,5/6,-3,4518,1,2_0,2_64984132
2022-11-05,Spread,FALSE,TRUE,WAS Commanders,0.5,100,2,1/1,3,4518,1,2_0,2_64984132
2022-11-05,Total,FALSE,TRUE,Over,0.5121951219512195,-105,1.95238096,20/21,43.5,4518,6,3_0,3_64984132
2022-11-05,Total,FALSE,TRUE,Under,0.5348837209302325,-115,1.86956522,20/23,43.5,4518,6,3_0,3_64984132
2022-11-05,Moneyline,FALSE,TRUE,MIN Vikings,0.6226415094339622,-165,1.6060606100000001,20/33,NA,4518,2,1_0,1_64984132
2022-11-05,Moneyline,FALSE,TRUE,WAS Commanders,0.4166666666666667,140,2.4,7/5,NA,4518,2,1_0,1_64984132
2022-11-05,Spread,FALSE,TRUE,CAR Panthers,0.5454545454545454,-120,1.83333334,5/6,7.5,4518,1,2_0,2_64984127
2022-11-05,Spread,FALSE,TRUE,CIN Bengals,0.5,100,2,1/1,-7.5,4518,1,2_0,2_64984127
2022-11-05,Total,FALSE,TRUE,Over,0.5348837209302325,-115,1.86956522,20/23,42.5,4518,6,3_0,3_64984127
2022-11-05,Total,FALSE,TRUE,Under,0.5121951219512195,-105,1.95238096,20/21,42.5,4518,6,3_0,3_64984127
2022-11-05,Moneyline,FALSE,TRUE,CAR Panthers,0.273972602739726,265,3.65,53/20,NA,4518,2,1_0,1_64984127
2022-11-05,Moneyline,FALSE,TRUE,CIN Bengals,0.7619047619047619,-320,1.3125,5/16,NA,4518,2,1_0,1_64984127
2022-11-05,Spread,FALSE,TRUE,GB Packers,0.5238095238095238,-110,1.90909091,10/11,-3.5,4518,1,2_0,2_64984128
2022-11-05,Spread,FALSE,TRUE,DET Lions,0.5238095238095238,-110,1.90909091,10/11,3.5,4518,1,2_0,2_64984128
